Source,Target,IntervalNumber,StartTime,EndTime,Duration,StartOrbit,EndOrbit
STARLINK-1094,Receiver,1,08-Jun-2026 00:00:00,08-Jun-2026 00:02:00,120,1,1
STARLINK-1094,Receiver,2,08-Jun-2026 06:28:00,08-Jun-2026 06:33:00,300,5,5
STARLINK-1094,Receiver,3,08-Jun-2026 08:04:00,08-Jun-2026 08:08:00,240,6,6
STARLINK-1094,Receiver,4,08-Jun-2026 23:04:00,08-Jun-2026 23:10:00,360,15,16
STARLINK-1122,Receiver,1,08-Jun-2026 00:14:00,08-Jun-2026 00:19:00,300,1,1
STARLINK-1122,Receiver,2,08-Jun-2026 06:45:00,08-Jun-2026 06:50:00,300,5,5
STARLINK-1122,Receiver,3,08-Jun-2026 08:22:00,08-Jun-2026 08:25:00,180,6,6
STARLINK-1122,Receiver,4,08-Jun-2026 23:21:00,08-Jun-2026 23:27:00,360,16,16
STARLINK-1080,Receiver,1,08-Jun-2026 03:34:00,08-Jun-2026 03:38:00,240,3,3
STARLINK-1080,Receiver,2,08-Jun-2026 05:09:00,08-Jun-2026 05:13:00,240,4,4
STARLINK-1080,Receiver,3,08-Jun-2026 20:02:00,08-Jun-2026 20:07:00,300,14,14
STARLINK-1080,Receiver,4,08-Jun-2026 21:39:00,08-Jun-2026 21:40:00,60,15,15
STARLINK-1090,Receiver,1,08-Jun-2026 04:53:00,08-Jun-2026 04:54:00,60,4,4
STARLINK-1090,Receiver,2,08-Jun-2026 06:28:00,08-Jun-2026 06:33:00,300,5,5
STARLINK-1090,Receiver,3,08-Jun-2026 21:31:00,08-Jun-2026 21:36:00,300,14,14
STARLINK-1090,Receiver,4,08-Jun-2026 23:08:00,08-Jun-2026 23:12:00,240,15,15
STARLINK-1132,Receiver,1,08-Jun-2026 01:11:00,08-Jun-2026 01:13:00,120,1,1
STARLINK-1132,Receiver,2,08-Jun-2026 02:46:00,08-Jun-2026 02:51:00,300,2,2
STARLINK-1132,Receiver,3,08-Jun-2026 17:46:00,08-Jun-2026 17:51:00,300,12,12
STARLINK-1132,Receiver,4,08-Jun-2026 19:23:00,08-Jun-2026 19:27:00,240,13,13
STARLINK-1131,Receiver,1,08-Jun-2026 04:39:00,08-Jun-2026 04:45:00,360,4,4
STARLINK-1131,Receiver,2,08-Jun-2026 19:42:00,08-Jun-2026 19:46:00,240,13,13
STARLINK-1131,Receiver,3,08-Jun-2026 21:18:00,08-Jun-2026 21:23:00,300,14,14
STARLINK-1134,Receiver,1,08-Jun-2026 01:05:00,08-Jun-2026 01:11:00,360,1,1
STARLINK-1134,Receiver,2,08-Jun-2026 16:06:00,08-Jun-2026 16:07:00,60,11,11
STARLINK-1134,Receiver,3,08-Jun-2026 17:40:00,08-Jun-2026 17:45:00,300,12,12
STARLINK-1156,Receiver,1,08-Jun-2026 03:31:00,08-Jun-2026 03:33:00,120,3,3
STARLINK-1156,Receiver,2,08-Jun-2026 05:07:00,08-Jun-2026 05:13:00,360,4,4
STARLINK-1156,Receiver,3,08-Jun-2026 20:20:00,08-Jun-2026 20:25:00,300,14,14
STARLINK-1156,Receiver,4,08-Jun-2026 21:58:00,08-Jun-2026 22:03:00,300,15,15
STARLINK-1166,Receiver,1,08-Jun-2026 02:44:00,08-Jun-2026 02:48:00,240,2,2
STARLINK-1166,Receiver,2,08-Jun-2026 04:20:00,08-Jun-2026 04:24:00,240,3,3
STARLINK-1166,Receiver,3,08-Jun-2026 19:17:00,08-Jun-2026 19:22:00,300,13,13
STARLINK-1169,Receiver,1,08-Jun-2026 04:21:00,08-Jun-2026 04:26:00,300,3,3
STARLINK-1169,Receiver,2,08-Jun-2026 05:58:00,08-Jun-2026 06:03:00,300,4,4
STARLINK-1169,Receiver,3,08-Jun-2026 19:33:00,08-Jun-2026 19:35:00,120,13,13
STARLINK-1169,Receiver,4,08-Jun-2026 21:08:00,08-Jun-2026 21:14:00,360,14,14
STARLINK-1171,Receiver,1,08-Jun-2026 01:30:00,08-Jun-2026 01:35:00,300,1,2
STARLINK-1171,Receiver,2,08-Jun-2026 16:20:00,08-Jun-2026 16:23:00,180,11,11
STARLINK-1171,Receiver,3,08-Jun-2026 17:54:00,08-Jun-2026 17:58:00,240,12,12
STARLINK-1133,Receiver,1,08-Jun-2026 02:50:00,08-Jun-2026 02:56:00,360,2,2
STARLINK-1133,Receiver,2,08-Jun-2026 04:28:00,08-Jun-2026 04:33:00,300,3,3
STARLINK-1133,Receiver,3,08-Jun-2026 18:05:00,08-Jun-2026 18:07:00,120,12,12
STARLINK-1133,Receiver,4,08-Jun-2026 19:40:00,08-Jun-2026 19:46:00,360,13,13
STARLINK-1167,Receiver,1,08-Jun-2026 02:54:00,08-Jun-2026 02:59:00,300,2,2
STARLINK-1167,Receiver,2,08-Jun-2026 04:32:00,08-Jun-2026 04:36:00,240,3,3
STARLINK-1167,Receiver,3,08-Jun-2026 18:06:00,08-Jun-2026 18:09:00,180,12,12
STARLINK-1167,Receiver,4,08-Jun-2026 19:42:00,08-Jun-2026 19:48:00,360,13,13
STARLINK-1168,Receiver,1,08-Jun-2026 02:20:00,08-Jun-2026 02:24:00,240,2,2
STARLINK-1168,Receiver,2,08-Jun-2026 03:57:00,08-Jun-2026 04:03:00,360,3,3
STARLINK-1168,Receiver,3,08-Jun-2026 19:09:00,08-Jun-2026 19:16:00,420,13,13
STARLINK-1168,Receiver,4,08-Jun-2026 20:49:00,08-Jun-2026 20:52:00,180,14,14
